chemical,sample_year,count
1-2-3-Trichlorobenzene,1998,0
1-2-3-Trichlorobenzene,1999,0
1-2-3-Trichlorobenzene,2000,0
1-2-3-Trichlorobenzene,2001,0
1-2-3-Trichlorobenzene,2002,0
1-2-3-Trichlorobenzene,2003,0
1-2-3-Trichlorobenzene,2004,0
1-2-3-Trichlorobenzene,2005,0
1-2-3-Trichlorobenzene,2006,0
1-2-3-Trichlorobenzene,2007,0
1-2-3-Trichlorobenzene,2008,34
1-2-3-Trichlorobenzene,2009,42
1-2-3-Trichlorobenzene,2010,0
1-2-3-Trichlorobenzene,2011,0
1-2-3-Trichlorobenzene,2012,0
1-2-3-Trichlorobenzene,2013,0
1-2-3-Trichlorobenzene,2014,0
1-2-3-Trichlorobenzene,2015,0
1-2-3-Trichlorobenzene,2016,0
1-2-4-Trichlorobenzene,1998,0
1-2-4-Trichlorobenzene,1999,0
1-2-4-Trichlorobenzene,2000,0
1-2-4-Trichlorobenzene,2001,0
1-2-4-Trichlorobenzene,2002,0
1-2-4-Trichlorobenzene,2003,0
1-2-4-Trichlorobenzene,2004,0
1-2-4-Trichlorobenzene,2005,0
1-2-4-Trichlorobenzene,2006,0
1-2-4-Trichlorobenzene,2007,0
1-2-4-Trichlorobenzene,2008,34
1-2-4-Trichlorobenzene,2009,42
1-2-4-Trichlorobenzene,2010,0
1-2-4-Trichlorobenzene,2011,0
1-2-4-Trichlorobenzene,2012,0
1-2-4-Trichlorobenzene,2013,0
1-2-4-Trichlorobenzene,2014,0
1-2-4-Trichlorobenzene,2015,0
1-2-4-Trichlorobenzene,2016,0
AGOC-3A,1998,0
AGOC-3A,1999,0
AGOC-3A,2000,0
AGOC-3A,2001,0
AGOC-3A,2002,0
AGOC-3A,2003,0
AGOC-3A,2004,0
AGOC-3A,2005,0
AGOC-3A,2006,0
AGOC-3A,2007,0
AGOC-3A,2008,0
AGOC-3A,2009,0
AGOC-3A,2010,0
AGOC-3A,2011,0
AGOC-3A,2012,0
AGOC-3A,2013,0
AGOC-3A,2014,168
AGOC-3A,2015,145
AGOC-3A,2016,161
AOX,1998,120
AOX,1999,0
AOX,2000,0
AOX,2001,0
AOX,2002,0
AOX,2003,0
AOX,2004,0
AOX,2005,0
AOX,2006,0
AOX,2007,0
AOX,2008,71
AOX,2009,165
AOX,2010,43
AOX,2011,0
AOX,2012,0
AOX,2013,48
AOX,2014,0
AOX,2015,0
AOX,2016,45
Acenaphthene,1998,0
Acenaphthene,1999,0
Acenaphthene,2000,0
Acenaphthene,2001,0
Acenaphthene,2002,0
Acenaphthene,2003,0
Acenaphthene,2004,0
Acenaphthene,2005,0
Acenaphthene,2006,0
Acenaphthene,2007,0
Acenaphthene,2008,34
Acenaphthene,2009,42
Acenaphthene,2010,0
Acenaphthene,2011,0
Acenaphthene,2012,0
Acenaphthene,2013,0
Acenaphthene,2014,0
Acenaphthene,2015,0
Acenaphthene,2016,0
Acenaphthylene,1998,0
Acenaphthylene,1999,0
Acenaphthylene,2000,0
Acenaphthylene,2001,0
Acenaphthylene,2002,0
Acenaphthylene,2003,0
Acenaphthylene,2004,0
Acenaphthylene,2005,0
Acenaphthylene,2006,0
Acenaphthylene,2007,0
Acenaphthylene,2008,34
Acenaphthylene,2009,42
Acenaphthylene,2010,0
Acenaphthylene,2011,0
Acenaphthylene,2012,0
Acenaphthylene,2013,0
Acenaphthylene,2014,0
Acenaphthylene,2015,0
Acenaphthylene,2016,0
Alachlor,1998,0
Alachlor,1999,0
Alachlor,2000,0
Alachlor,2001,0
Alachlor,2002,0
Alachlor,2003,0
Alachlor,2004,0
Alachlor,2005,82
Alachlor,2006,213
Alachlor,2007,221
Alachlor,2008,0
Alachlor,2009,12
Alachlor,2010,0
Alachlor,2011,0
Alachlor,2012,0
Alachlor,2013,0
Alachlor,2014,0
Alachlor,2015,0
Alachlor,2016,0
Aldrin,1998,0
Aldrin,1999,0
Aldrin,2000,0
Aldrin,2001,0
Aldrin,2002,0
Aldrin,2003,0
Aldrin,2004,0
Aldrin,2005,183
Aldrin,2006,189
Aldrin,2007,221
Aldrin,2008,43
Aldrin,2009,56
Aldrin,2010,0
Aldrin,2011,0
Aldrin,2012,0
Aldrin,2013,0
Aldrin,2014,0
Aldrin,2015,0
Aldrin,2016,0
Aluminium,1998,0
Aluminium,1999,0
Aluminium,2000,0
Aluminium,2001,0
Aluminium,2002,0
Aluminium,2003,0
Aluminium,2004,0
Aluminium,2005,0
Aluminium,2006,0
Aluminium,2007,0
Aluminium,2008,20
Aluminium,2009,92
Aluminium,2010,11
Aluminium,2011,0
Aluminium,2012,0
Aluminium,2013,0
Aluminium,2014,3
