chemical,sample_date,value
1-2-3-Trichlorobenzene,2008-1,0.0
1-2-3-Trichlorobenzene,2008-2,0.015
1-2-3-Trichlorobenzene,2008-3,0.0
1-2-3-Trichlorobenzene,2008-5,0.0
1-2-3-Trichlorobenzene,2008-6,0.0
1-2-3-Trichlorobenzene,2008-7,0.0
1-2-3-Trichlorobenzene,2008-8,0.0
1-2-3-Trichlorobenzene,2008-9,0.0
1-2-3-Trichlorobenzene,2008-10,0.0
1-2-3-Trichlorobenzene,2008-11,0.0
1-2-3-Trichlorobenzene,2009-1,0.0
1-2-3-Trichlorobenzene,2009-2,0.0
1-2-3-Trichlorobenzene,2009-3,0.0
1-2-3-Trichlorobenzene,2009-4,0.0
1-2-3-Trichlorobenzene,2009-5,0.0
1-2-3-Trichlorobenzene,2009-6,0.0
1-2-3-Trichlorobenzene,2009-7,0.0
1-2-3-Trichlorobenzene,2009-8,0.0
1-2-3-Trichlorobenzene,2009-9,0.0
1-2-3-Trichlorobenzene,2009-10,0.0
1-2-3-Trichlorobenzene,2009-11,0.0
1-2-3-Trichlorobenzene,2009-12,0.0
1-2-4-Trichlorobenzene,2008-1,0.0
1-2-4-Trichlorobenzene,2008-2,0.0
1-2-4-Trichlorobenzene,2008-3,0.0
1-2-4-Trichlorobenzene,2008-5,0.0
1-2-4-Trichlorobenzene,2008-6,0.0
1-2-4-Trichlorobenzene,2008-7,0.0
1-2-4-Trichlorobenzene,2008-8,0.0
1-2-4-Trichlorobenzene,2008-9,0.0
1-2-4-Trichlorobenzene,2008-10,0.0
1-2-4-Trichlorobenzene,2008-11,0.0
1-2-4-Trichlorobenzene,2009-1,0.0
1-2-4-Trichlorobenzene,2009-2,0.0
1-2-4-Trichlorobenzene,2009-3,0.0
1-2-4-Trichlorobenzene,2009-4,0.0
1-2-4-Trichlorobenzene,2009-5,0.0
1-2-4-Trichlorobenzene,2009-6,0.0
1-2-4-Trichlorobenzene,2009-7,0.0
1-2-4-Trichlorobenzene,2009-8,0.0
1-2-4-Trichlorobenzene,2009-9,0.0
1-2-4-Trichlorobenzene,2009-10,0.0
1-2-4-Trichlorobenzene,2009-11,0.0
1-2-4-Trichlorobenzene,2009-12,0.0
