chemical,sample_date,value
1-2-3-Trichlorobenzene,2008-01-24,0.0
1-2-3-Trichlorobenzene,2008-02-21,0.0
1-2-3-Trichlorobenzene,2008-02-23,0.03
1-2-3-Trichlorobenzene,2008-03-21,0.0
1-2-3-Trichlorobenzene,2008-03-23,0.0
1-2-3-Trichlorobenzene,2008-05-26,0.0
1-2-3-Trichlorobenzene,2008-06-20,0.0
1-2-3-Trichlorobenzene,2008-06-29,0.0
1-2-3-Trichlorobenzene,2008-07-11,0.0
1-2-3-Trichlorobenzene,2008-07-25,0.0
1-2-3-Trichlorobenzene,2008-07-27,0.0
1-2-3-Trichlorobenzene,2008-08-22,0.0
1-2-3-Trichlorobenzene,2008-09-26,0.0
1-2-3-Trichlorobenzene,2008-09-28,0.0
1-2-3-Trichlorobenzene,2008-10-24,0.0
1-2-3-Trichlorobenzene,2008-10-26,0.0
1-2-3-Trichlorobenzene,2008-11-27,0.0
1-2-3-Trichlorobenzene,2008-11-28,0.0
1-2-3-Trichlorobenzene,2009-01-29,0.0
1-2-3-Trichlorobenzene,2009-02-27,0.0
1-2-3-Trichlorobenzene,2009-03-19,0.0
1-2-3-Trichlorobenzene,2009-04-23,0.0
1-2-3-Trichlorobenzene,2009-05-21,0.0
1-2-3-Trichlorobenzene,2009-05-28,0.0
1-2-3-Trichlorobenzene,2009-06-25,0.0
1-2-3-Trichlorobenzene,2009-07-23,0.0
1-2-3-Trichlorobenzene,2009-07-30,0.0
1-2-3-Trichlorobenzene,2009-08-20,0.0
1-2-3-Trichlorobenzene,2009-08-21,0.0
1-2-3-Trichlorobenzene,2009-09-09,0.0
1-2-3-Trichlorobenzene,2009-09-21,0.0
1-2-3-Trichlorobenzene,2009-10-22,0.0
1-2-3-Trichlorobenzene,2009-10-29,0.0
1-2-3-Trichlorobenzene,2009-11-07,0.0
1-2-3-Trichlorobenzene,2009-11-26,0.0
1-2-3-Trichlorobenzene,2009-12-13,0.0
1-2-4-Trichlorobenzene,2008-01-24,0.0
1-2-4-Trichlorobenzene,2008-02-21,0.0
1-2-4-Trichlorobenzene,2008-02-23,0.0
1-2-4-Trichlorobenzene,2008-03-21,0.0
1-2-4-Trichlorobenzene,2008-03-23,0.0
1-2-4-Trichlorobenzene,2008-05-26,0.0
1-2-4-Trichlorobenzene,2008-06-20,0.0
1-2-4-Trichlorobenzene,2008-06-29,0.0
1-2-4-Trichlorobenzene,2008-07-11,0.0
1-2-4-Trichlorobenzene,2008-07-25,0.0
1-2-4-Trichlorobenzene,2008-07-27,0.0
1-2-4-Trichlorobenzene,2008-08-22,0.0
1-2-4-Trichlorobenzene,2008-09-26,0.0
1-2-4-Trichlorobenzene,2008-09-28,0.0
1-2-4-Trichlorobenzene,2008-10-24,0.0
1-2-4-Trichlorobenzene,2008-10-26,0.0
1-2-4-Trichlorobenzene,2008-11-27,0.0
1-2-4-Trichlorobenzene,2008-11-28,0.0
1-2-4-Trichlorobenzene,2009-01-29,0.0
1-2-4-Trichlorobenzene,2009-02-27,0.0
1-2-4-Trichlorobenzene,2009-03-19,0.0
1-2-4-Trichlorobenzene,2009-04-23,0.0
1-2-4-Trichlorobenzene,2009-05-21,0.0
1-2-4-Trichlorobenzene,2009-05-28,0.0
1-2-4-Trichlorobenzene,2009-06-25,0.0
1-2-4-Trichlorobenzene,2009-07-23,0.0
1-2-4-Trichlorobenzene,2009-07-30,0.0
1-2-4-Trichlorobenzene,2009-08-20,0.0
1-2-4-Trichlorobenzene,2009-08-21,0.0
1-2-4-Trichlorobenzene,2009-09-09,0.0
1-2-4-Trichlorobenzene,2009-09-21,0.0
1-2-4-Trichlorobenzene,2009-10-22,0.0
1-2-4-Trichlorobenzene,2009-10-29,0.0
1-2-4-Trichlorobenzene,2009-11-07,0.0
1-2-4-Trichlorobenzene,2009-11-26,0.0
1-2-4-Trichlorobenzene,2009-12-13,0.0
AGOC-3A,2014-01-04,0.3
AGOC-3A,2014-01-10,0.32
AGOC-3A,2014-01-12,0.31
AGOC-3A,2014-01-18,0.27
AGOC-3A,2014-01-26,0.29
AGOC-3A,2014-02-03,0.27
AGOC-3A,2014-02-15,0.28
AGOC-3A,2014-02-21,0.3
AGOC-3A,2014-02-23,0.28
AGOC-3A,2014-02-24,0.28
AGOC-3A,2014-03-02,0.28
AGOC-3A,2014-03-14,0.33
